code,name,industry,area,市盈率,每股收益,市净率,每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
002866,传艺科技,电脑设备,江苏,55.0,0.33,5.11,6.0,18.150000000000002,30.660000000000004,9.290909090909093,,26.41,5.45,7.27
300066,三川智慧,电器仪表,江西,66.44,0.043,3.98,1.43,2.8569199999999997,5.6914,5.990367248645395,8.91,,,3.01
000561,烽火电子,通信设备,陕西,189.69,0.028,5.39,1.94,5.31132,10.4566,2.841478201275766,,8.27,-1.77,1.43
300616,尚品宅配,家居用品,广东,125.85,0.7,7.11,21.12,88.09499999999998,150.16320000000002,5.64958283671037,,35.2,,
300680,隆盛科技,汽车配件,江苏,84.55,0.28,8.4,4.22,23.674000000000003,35.448,9.934949733885276,,16.82,3.23,6.85
300355,蒙草生态,环境保护,内蒙,24.45,0.247,6.15,1.97,6.039149999999999,12.1155,25.153374233128837,10.61,14.15,,13.15
300505,川金诺,化工原料,云南,77.4,0.274,6.26,6.78,21.207600000000003,42.4428,8.087855297157622,8.48,10.74,1.22,4.04
300429,强力新材,化工原料,江苏,43.15,0.289,6.34,3.93,12.470349999999998,24.9162,14.692931633835459,13.66,15.27,3.04,7.43
600677,航天通信,通信设备,浙江,490.71,0.014,2.38,5.97,6.86994,14.208599999999999,0.48501151392879704,0.64,,0.23,0.24
300473,德尔股份,汽车配件,辽宁,40.55,0.62,3.31,14.78,25.141,48.9218,8.162762022194821,5.98,7.33,1.97,3.88
000912,泸天化,农药化肥,四川,0.0,-0.066,72.13,0.14,-0.0,10.0982,,-67.59,-148.13,,
000537,广宇发展,区域地产,天津,108.52,0.052000000000000005,2.53,4.47,5.64304,11.309099999999999,2.3313674898636196,12.07,,-3.11,1.17
002749,国光股份,农药化肥,四川,20.26,1.6669999999999998,6.36,10.61,33.77342,67.4796,31.391905231984204,,16.24,4.27,
300103,达刚路机,工程机械,陕西,99.13,0.1,4.84,4.09,9.913,19.7956,4.882477554726117,2.44,2.8,0.67,
300245,天玑科技,软件服务,上海,45.3,0.159,5.09,2.82,7.2027,14.3538,11.236203090507727,6.71,,0.82,
002234,民和股份,农业综合,山东,0.0,-0.604,5.48,2.81,-0.0,15.398800000000001,,24.96,16.13,,-19.44
300084,海默科技,石油开采,甘肃,958.01,0.005,2.11,4.71,4.79005,9.938099999999999,0.2202482228786756,0.25,,-0.16,
