code,name,industry,area,pe,20162,20163,20164,20171,20172
000751,锌业股份,铅锌,辽宁,57.09,2.76,4.56,,1.74,3.67
002114,罗平锌电,铅锌,云南,462.11,-2.93,3.15,9.66,,
000822,山东海化,化工原料,山东,16.19,1.16,2.9,,12.08,14.58
601106,*ST一重,工程机械,黑龙江,698.71,-4.66,-14.03,-47.64,0.04,0.21
300238,冠昊生物,医疗保健,广东,140.58,2.46,5.16,8.21,0.84,1.86
002167,东方锆业,小金属,广东,268.33,-1.24,,2.41,0.31,
002145,中核钛白,化工原料,甘肃,22.52,0.43,,3.29,4.42,8.45
600117,西宁特钢,特种钢,青海,350.44,,-39.01,,,0.38
002623,亚玛顿,玻璃,江苏,278.45,1.38,,0.79,0.32,
002052,同洲电子,通信设备,深圳,1257.26,-4.51,,,,0.23
002520,日发精机,机床制造,浙江,73.69,1.6,2.02,2.46,,2.29
603557,起步股份,服饰,浙江,59.39,9.77,,19.97,,10.4
601001,大同煤业,煤炭开采,山西,10.72,7.63,5.16,3.74,0.36,11.33
300097,智云股份,电器仪表,辽宁,78.4,4.09,3.74,,-0.63,4.06
601225,陕西煤业,煤炭开采,陕西,8.16,0.79,3.17,,7.45,14.6
603111,康尼机电,运输设备,江苏,48.63,10.19,14.53,20.76,,8.43
300038,梅泰诺,通信设备,北京,51.46,,3.67,,0.32,
300165,天瑞仪器,电器仪表,江苏,44.06,2.39,,3.7,,2.73
002885,京泉华,元器件,深圳,46.89,7.54,,18.77,4.27,9.56
300357,我武生物,生物制药,浙江,44.27,9.01,16.84,,5.66,11.33
300063,天龙集团,染料涂料,广东,36.25,3.24,5.83,,1.43,3.32
002742,三圣股份,其他建材,重庆,33.28,4.91,,9.37,1.92,9.42
002303,美盈森,造纸,深圳,44.98,,,8.26,,
300608,思特奇,软件服务,北京,0.0,-3.93,nan,16.13,-13.61,-1.6
000488,晨鸣纸业,造纸,山东,10.24,5.89,8.8,9.59,3.67,7.24
600067,冠城大通,全国地产,福建,11.88,,3.49,4.55,4.23,7.26
600997,开滦股份,煤炭开采,河北,28.55,0.82,,6.36,1.77,
002709,天赐材料,化工原料,广东,51.35,14.93,,28.82,3.85,
000561,烽火电子,通信设备,陕西,187.7,,,8.27,-1.77,1.43
002074,国轩高科,电气设备,江苏,34.15,16.45,22.22,29.86,5.0,10.79
600346,恒力股份,化纤,辽宁,22.97,11.26,15.21,22.76,4.78,9.37
000676,智度股份,互联网,河南,32.14,9.94,7.34,11.63,2.63,4.64
002802,洪汇新材,化工原料,江苏,56.72,8.46,13.09,,2.38,
000411,英特集团,医药商业,浙江,54.68,5.8,,12.12,,
300046,台基股份,半导体,湖北,54.36,1.29,3.49,4.89,1.59,3.36
000983,西山煤电,煤炭开采,山西,19.12,0.67,1.24,2.67,,5.39
300635,达安股份,建筑施工,广东,85.29,8.1,,17.25,3.27,
000893,东凌国际,食品,广东,0.0,,0.43,0.45,-0.12,-0.48
600525,长园集团,电气设备,深圳,49.39,,7.99,10.28,0.61,
300017,网宿科技,电信运营,上海,35.28,12.81,,21.52,,
600791,京能置业,全国地产,北京,834.29,2.32,1.81,3.07,0.41,0.21
601231,环旭电子,元器件,上海,28.41,,7.56,11.27,,7.17
000810,创维数字,家用电器,四川,110.58,,15.94,21.33,,2.05
002378,章源钨业,小金属,江西,1314.87,-1.14,0.36,,,0.26
002011,盾安环境,工程机械,浙江,79.63,1.44,1.34,1.93,0.87,1.47
300502,新易盛,通信设备,四川,71.0,6.62,9.95,12.36,2.96,6.1
300425,环能科技,环境保护,四川,60.54,3.09,4.0,6.32,-0.05,2.62
002723,金莱特,家用电器,广东,170.23,1.34,0.84,1.02,,
000948,南天信息,软件服务,云南,0.0,-3.37,-3.5,1.44,-3.21,-4.06
300359,全通教育,文教休闲,广东,0.0,1.85,,5.23,-0.32,-0.89
002662,京威股份,汽车配件,北京,33.21,,6.07,14.08,1.55,3.62
002180,纳思达,电脑设备,广东,0.0,,13.15,3.31,,
002158,汉钟精机,工程机械,上海,53.19,4.34,,8.84,1.26,4.24
300125,易世达,电气设备,辽宁,0.0,-2.14,,-5.84,-1.21,-1.37
300223,北京君正,半导体,北京,834.09,,0.74,0.65,0.19,0.34
000758,中色股份,铅锌,北京,45.22,3.75,,6.02,,
000333,美的集团,家用电器,广东,13.05,17.64,23.76,26.88,6.87,16.46
300248,新开普,软件服务,河南,133.18,1.14,3.64,,0.23,
002202,金风科技,电气设备,新疆,20.62,8.29,12.01,16.87,0.81,5.76
000605,渤海股份,水务,北京,114.55,,3.14,4.15,0.45,
000408,藏格控股,农药化肥,青海,67.97,64.14,3.41,21.56,0.48,5.15
002509,天广中茂,专用机械,福建,49.01,3.75,6.19,,1.2,
600569,安阳钢铁,普钢,河南,219.43,1.73,2.94,2.59,-4.24,0.57
600735,新华锦,商贸代理,山东,68.21,,,7.64,2.32,
002151,北斗星通,通信设备,北京,283.34,0.49,1.63,,0.08,0.6
000636,风华高科,元器件,广东,39.52,1.69,2.32,2.87,,
300316,晶盛机电,专用机械,浙江,55.68,4.11,7.0,9.7,,4.24
300005,探路者,服饰,北京,44.33,6.43,6.85,7.51,,2.87
300044,赛为智能,软件服务,深圳,84.95,3.83,4.44,12.79,1.98,5.78
601212,白银有色,铜,甘肃,230.85,1.12,1.99,2.22,0.2,1.13
300514,友讯达,通信设备,深圳,58.85,6.45,,20.08,3.71,8.4
300595,欧普康视,医疗保健,安徽,56.58,15.67,29.41,,4.76,
600282,南钢股份,普钢,江苏,9.03,2.28,3.54,5.44,7.81,16.45
000159,国际实业,石油贸易,新疆,0.0,-0.72,0.53,1.61,,-2.8
300638,广和通,通信设备,深圳,104.73,10.64,,32.51,,9.45
300069,金利华电,电气设备,浙江,214.48,3.97,4.42,,,
600888,新疆众和,铝,新疆,48.58,,,1.21,1.04,2.19
300235,方直科技,软件服务,深圳,0.0,,,,,-0.44
300348,长亮科技,软件服务,深圳,175.51,,8.01,13.42,0.1,2.01
300577,开润股份,纺织,安徽,51.07,15.72,29.09,37.04,5.02,11.0
002219,恒康医疗,中成药,甘肃,65.94,3.79,5.29,10.29,1.75,
600066,宇通客车,汽车整车,河南,32.68,10.7,18.87,,2.3,
300623,捷捷微电,半导体,江苏,51.92,11.46,,25.88,3.8,
002747,埃斯顿,机械基件,江苏,155.64,4.44,8.04,8.41,0.92,2.71
000878,云南铜业,铜,云南,82.19,0.2,0.82,3.75,,2.23
300469,信息发展,软件服务,上海,0.0,-3.51,0.39,7.79,-4.71,-2.32
002417,三元达,通信设备,福建,107.87,-14.05,-17.72,-26.75,1.21,4.65
002037,久联发展,化工原料,贵州,62.21,0.22,,,0.32,1.85
300056,三维丝,环境保护,福建,0.0,6.22,6.83,,,
002836,新宏泽,广告包装,广东,135.07,6.67,12.25,19.83,2.73,4.6
000655,金岭矿业,普钢,山东,48.43,-3.82,,-19.46,0.76,2.17
600216,浙江医药,化学制药,浙江,57.67,,6.0,6.64,0.34,1.28
000733,振华科技,元器件,贵州,28.36,3.27,4.54,4.97,,
000898,鞍钢股份,普钢,辽宁,13.63,0.69,,3.67,2.35,3.98
300686,智动力,元器件,深圳,93.68,8.24,,19.22,3.19,6.04
300328,宜安科技,铝,广东,116.69,,2.59,4.47,1.44,
300693,盛弘股份,电气设备,深圳,92.07,13.79,,29.5,7.56,12.04
300656,民德电子,电脑设备,深圳,73.29,13.45,,32.32,4.45,8.73
300480,光力科技,电器仪表,河南,91.92,3.1,3.2,6.64,0.31,3.56
002182,云海金属,小金属,江苏,42.08,5.62,9.27,,4.19,6.58
002474,榕基软件,软件服务,福建,170.4,1.18,1.48,,0.77,1.47
600549,厦门钨业,小金属,福建,41.57,,,2.23,2.0,6.75
000737,南风化工,日用化工,山西,0.0,-66.22,-85.2,13.2,-26.6,-178.0
300432,富临精工,汽车配件,四川,30.59,11.59,17.18,23.73,,5.95
300589,江龙船艇,船舶,广东,97.62,5.92,,24.34,,
300008,天海防务,船舶,上海,46.91,6.41,5.97,6.56,1.26,3.22
300317,珈伟股份,半导体,深圳,40.11,4.88,,8.98,,4.84
600707,彩虹股份,元器件,陕西,0.0,,-6.08,-19.1,-3.69,
002340,格林美,小金属,深圳,59.91,2.59,2.98,3.95,1.46,
300390,天华超净,电脑设备,江苏,124.22,1.39,2.45,,0.83,1.53
300331,苏大维格,元器件,江苏,73.17,1.09,2.25,6.33,,2.61
002892,科力尔,电气设备,湖南,61.59,17.56,,31.59,,13.8
002418,康盛股份,机械基件,浙江,74.13,5.75,7.6,9.57,0.83,3.42
300302,同有科技,软件服务,北京,263.03,7.37,,,,
002696,百洋股份,渔业,广西,146.27,,,,-0.09,
002295,精艺股份,铜,广东,44.85,,0.86,0.87,1.28,
002580,圣阳股份,电气设备,山东,101.59,,,4.65,,1.39
600458,时代新材,塑料,湖南,149.67,3.81,4.26,5.09,0.42,0.62
000977,浪潮信息,电脑设备,山东,90.89,6.87,9.0,7.57,1.79,3.59
000657,中钨高新,小金属,海南,86.28,0.17,0.74,0.45,,
600552,凯盛科技,玻璃,安徽,96.39,,2.75,3.29,0.51,1.49
002326,永太科技,化工原料,浙江,27.92,5.76,6.37,14.02,6.9,
000066,中国长城,电脑设备,深圳,45.65,-0.28,1.03,,2.45,4.5
603799,华友钴业,小金属,浙江,39.96,,0.46,2.8,5.63,14.46
601116,三江购物,超市连锁,浙江,84.01,,,6.38,2.49,4.08
300665,飞鹿股份,染料涂料,湖南,126.5,3.78,,15.84,nan,
002416,爱施德,电器连锁,深圳,35.72,2.02,3.04,3.88,,2.95
300243,瑞丰高材,化工原料,山东,81.61,3.28,4.77,3.76,,3.04
600745,闻泰科技,通信设备,湖北,49.89,0.39,0.78,1.12,,5.46
002393,力生制药,化学制药,天津,42.76,2.32,2.65,3.87,1.34,2.57
600188,兖州煤业,煤炭开采,山东,10.23,1.5,,5.05,3.99,
300157,恒泰艾普,石油开采,北京,62.9,0.55,,,-0.15,1.87
300096,易联众,软件服务,福建,0.0,0.18,-1.38,1.49,,-5.94
002159,三特索道,旅游服务,湖北,0.0,,-0.84,-6.11,-3.65,-4.17
600160,巨化股份,化工原料,浙江,24.41,,,1.89,,
600229,城市传媒,出版业,山东,24.93,,7.69,13.54,,6.34
300303,聚飞光电,半导体,深圳,37.65,,,8.82,2.05,3.9
601799,星宇股份,汽车配件,江苏,29.99,7.91,10.53,13.14,2.61,5.87
603906,龙蟠科技,化工原料,江苏,41.02,7.72,,,,5.53
603515,欧普照明,电气设备,上海,47.37,9.6,14.54,21.64,1.56,
300632,光莆股份,半导体,福建,56.37,6.22,,,3.93,7.03
300576,容大感光,染料涂料,深圳,75.06,,12.22,14.8,,
002388,新亚制程,元器件,深圳,48.22,0.36,1.37,1.87,1.63,8.57
600316,洪都航空,航空,江西,0.0,0.02,0.02,0.21,-0.57,
300136,信维通信,通信设备,深圳,50.29,11.18,22.34,32.03,9.25,
002203,海亮股份,铜,浙江,19.24,7.49,9.87,,4.56,8.97
300669,沪宁股份,机械基件,浙江,65.77,9.39,,21.83,2.68,8.04
603050,科林电气,电气设备,河北,132.42,1.73,,11.2,,2.61
000591,太阳能,新型电力,重庆,24.37,2.87,4.64,6.92,0.66,3.43
002527,新时达,电器仪表,上海,36.11,3.75,6.31,6.74,0.79,3.58
601677,明泰铝业,铝,河南,20.4,3.69,5.39,7.23,1.89,4.55
002339,积成电子,电气设备,山东,0.0,1.36,,5.27,,
300264,佳创视讯,通信设备,深圳,0.0,-0.48,-2.24,2.21,-1.8,-3.17
002881,美格智能,通信设备,深圳,100.42,,,22.81,3.1,7.09
