code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pe*eps),股价(pb*bvps),净资产收益(roe),20164,20171,20172,20173
002645,华宏科技,专用机械,江苏,39.99,0.418,2.85,7.82,右边股价,22.287000000000003,7.126781695423856,4.14,0.79,2.52,5.49
300180,华峰超纤,化纤,上海,62.5,0.38,3.39,7.62,右边股价,25.8318,5.424,,1.0,3.22,5.9
300467,迅游科技,互联网,四川,138.12,0.307,15.87,3.56,右边股价,56.4972,11.490008688097307,,2.86,5.56,8.95
603768,常青股份,汽车配件,安徽,39.95,0.47,2.92,7.94,右边股价,23.1848,7.309136420525657,22.09,4.62,4.65,6.76
603707,健友股份,化学制药,江苏,39.65,0.6,6.03,4.63,右边股价,27.9189,15.208070617906683,21.37,,8.96,
000021,深科技,电脑设备,深圳,24.73,0.319,2.66,3.95,右边股价,10.507000000000001,10.756166599272138,4.07,2.2,5.68,8.58
600100,同方股份,电脑设备,北京,0.0,-0.062,1.65,7.05,右边股价,11.632499999999999,,19.99,,,-0.86
300690,双一科技,电气设备,山东,42.61,1.7,5.73,13.19,右边股价,75.5787,13.447547524055386,30.97,,13.01,
601163,三角轮胎,汽车配件,山东,39.36,0.461,2.45,9.87,右边股价,24.1815,6.22459349593496,19.57,1.98,3.41,4.66
300479,神思电子,软件服务,山东,261.83,0.071,9.81,2.52,右边股价,24.721200000000003,3.74670587785968,5.1,,2.15,2.81
000981,银亿股份,区域地产,甘肃,52.12,0.18,3.24,2.92,右边股价,9.4608,6.216423637759018,9.49,0.77,,
002041,登海种业,种植业,山东,75.81,0.129,4.17,3.13,右边股价,13.0521,5.5005935892362485,,1.67,4.43,4.17
002722,金轮股份,纺织机械,江苏,48.8,0.536,3.53,9.88,右边股价,34.876400000000004,7.233606557377049,,1.48,3.69,5.54
603008,喜临门,家居用品,浙江,28.18,0.518,2.94,6.62,右边股价,19.4628,10.432931156848829,,1.77,3.77,7.9
603086,先达股份,农药化肥,山东,34.84,1.14,3.36,13.55,右边股价,45.528,9.644087256027554,14.48,3.46,6.96,8.95
002733,雄韬股份,电气设备,深圳,76.17,0.201,3.22,6.32,右边股价,20.3504,4.227386110017067,7.72,0.98,2.58,3.12
603955,大千生态,环境保护,江苏,64.98,0.69,4.57,11.93,右边股价,54.5201,7.032933210218529,10.49,0.23,3.99,6.0
600487,亨通光电,通信设备,江苏,26.87,1.32,5.9,7.47,右边股价,44.073,21.95757350204689,25.16,,12.41,23.37
002534,杭锅股份,专用机械,浙江,17.88,0.489,2.95,3.95,右边股价,11.652500000000002,16.498881431767337,7.59,3.69,7.96,13.07
600822,上海物贸,商贸代理,上海,259.17,0.047,14.46,1.11,右边股价,16.050600000000003,5.579349461743257,3.65,2.15,,4.27
000977,浪潮信息,电脑设备,山东,77.72,0.24,3.65,5.51,右边股价,20.1115,4.696345856922285,7.57,1.79,3.59,5.32
002006,精功科技,专用机械,浙江,91.82,0.066,3.89,2.09,右边股价,8.1301,4.236549771291658,7.0,1.22,2.92,
603308,应流股份,专用机械,安徽,89.01,0.155,2.84,6.49,右边股价,18.4316,3.1906527356476797,2.35,1.13,,2.4
002156,通富微电,半导体,江苏,77.33,0.128,3.19,4.14,右边股价,13.206599999999998,4.125177809388336,4.74,0.92,2.16,
002880,卫光生物,生物制药,深圳,53.37,1.19,6.59,10.7,右边股价,70.51299999999999,12.34776091437137,34.3,,,14.99
002514,宝馨科技,机械基件,江苏,80.73,0.079,4.86,1.75,右边股价,8.505,6.0200668896321075,-8.48,2.39,4.37,4.63
000408,藏格控股,农药化肥,青海,43.34,0.326,6.51,2.89,右边股价,18.8139,15.02076603599446,21.56,0.48,5.15,
000633,合金投资,综合类,新疆,0.0,-0.049,23.89,0.42,右边股价,10.0338,,15.63,,-8.39,-10.9
300570,太辰光,元器件,深圳,57.05,0.34,5.44,4.75,右边股价,25.840000000000003,9.53549517966696,22.64,1.98,4.41,
002338,奥普光电,电器仪表,吉林,97.28,0.14400000000000002,5.81,3.22,右边股价,18.7082,5.972450657894737,,1.76,3.42,4.49
002249,大洋电机,电气设备,广东,67.28,0.09,2.13,3.78,右边股价,8.0514,3.1658739595719383,6.66,,1.67,2.45
600323,瀚蓝环境,水务,广东,17.3,0.7120000000000001,2.41,6.81,右边股价,16.4121,13.93063583815029,11.04,2.69,6.31,
603183,建研院,建筑施工,江苏,112.52,0.51,8.18,6.96,右边股价,56.9328,7.269818698897974,18.17,3.38,7.51,
000988,华工科技,电器仪表,湖北,52.38,0.28600000000000003,5.26,3.8,右边股价,19.988,10.042000763650247,7.51,,5.44,7.78
300216,千山药机,医疗保健,湖南,132.25,0.123,6.44,3.36,右边股价,21.6384,4.869565217391305,18.88,1.88,,3.68
600019,宝钢股份,普钢,上海,12.3,0.528,1.22,7.11,右边股价,8.6742,9.91869918699187,,2.5,,
603579,荣泰健康,医疗保健,上海,45.09,1.12,7.14,9.32,右边股价,66.5448,15.834996673320026,55.46,5.69,,13.46
600990,四创电子,通信设备,安徽,112.47,0.45,5.24,12.7,右边股价,66.548,4.659020183159954,11.96,0.07,-2.51,3.82
603203,快克股份,专用机械,江苏,44.07,0.785,8.09,5.7,右边股价,46.113,18.357159065123668,,4.13,,
300449,汉邦高科,电脑设备,北京,1904.8,0.01,3.5,7.41,右边股价,25.935000000000002,0.18374632507349853,4.67,,,0.18
601388,怡球资源,铝,江苏,27.49,0.12,3.69,1.19,右边股价,4.3911,13.423062931975265,1.22,4.63,,10.51
000063,中兴通讯,通信设备,深圳,29.45,0.932,4.97,7.37,右边股价,36.6289,16.876061120543294,-8.4,4.5,8.28,13.64
600797,浙大网新,软件服务,浙江,55.69,0.22,3.57,4.09,右边股价,14.601299999999998,6.410486622373855,10.98,,7.19,8.33
