code,name,industry,area,市盈率(pe),每股收益(eps),市净率(pb),每股净资产(bvps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
600859,王府井,百货,北京,12.95,0.655,1.34,12.63,16.9242,10.34749035,5.91,7.1,1.81,5.23
2277,友阿股份,百货,湖南,18.62,0.19,1.95,3.62,7.059,10.4726101,,7.33,3.29,5.35
785,武汉中商,百货,湖北,32.25,0.177,3.5,3.26,11.41,10.85271318,2.37,,,
600785,新华百货,百货,宁夏,25.69,0.481,2.81,8.81,24.7561,10.93810821,2.61,3.34,3.68,5.51
2561,徐家汇,百货,上海,25.03,0.276,2.84,4.87,13.8308,11.34638434,8.65,12.07,,5.49
600327,大东方,百货,江苏,13.05,0.327,1.66,5.15,8.549,12.72030651,7.35,8.22,,
2419,天虹股份,百货,深圳,16.63,0.468,2.19,7.1,15.549,13.16897174,6.6,9.5,3.91,6.59
600694,大商股份,百货,辽宁,10.79,1.77,1.57,24.35,38.2295,14.55050973,9.76,,4.63,7.22
600628,新世界,百货,上海,10.46,0.56,1.75,6.71,11.7425,16.73040153,1.61,8.66,6.54,8.69
600729,重庆百货,百货,重庆,11.72,1.148,2.24,12.03,26.9472,19.11262799,8.36,8.98,7.54,9.56
501,鄂武商Ａ,百货,湖北,10.26,0.88,2.06,8.54,17.5924,20.07797271,13.8,18.52,4.59,10.29
600828,茂业商业,百货,四川,15.98,0.22,3.23,2.17,7.0091,20.21276596,10.26,14.96,4.96,9.49
600280,中央商场,百货,江苏,19.98,0.211,5,1.69,8.45,25.02502503,,,2.61,13.15
600306,商业城,百货,辽宁,8.89,0.799,12.09,1.17,14.1453,135.9955006,,943.32,112.45,103.05
600821,津劝业,百货,天津,0,-0.192,8.67,1.02,8.8434,,,-17.82,,-17.19
600712,南宁百货,百货,广西,0,-0.023,4.63,1.93,8.9359,,-1.39,-3.16,-0.02,-1.18
600778,友好集团,百货,新疆,0,-0.627,2.43,3.22,7.8246,,-11.04,-28.58,-1.33,-17.74
300223,北京君正,半导体,北京,787.87,0.023,5.41,6.62,35.8142,0.686661505,0.74,0.65,0.19,0.34
300301,长方集团,半导体,深圳,205.21,0.016,2.36,2.71,6.3956,1.150041421,2.98,-3.92,0.38,0.58
2506,协鑫集成,半导体,上海,463.4,0.005,5.33,0.83,4.4239,1.150194217,,-0.75,,0.57
300111,向日葵,半导体,浙江,240.2,0.009,3.62,1.16,4.1992,1.507077435,3.86,2.39,-2,0.76
600537,亿晶光电,半导体,浙江,107.68,0.025,1.78,3.04,5.4112,1.653046062,13.03,12.45,,
600584,长电科技,半导体,江苏,132.18,0.065,2.67,6.47,17.2749,2.019972764,1.36,2.45,0.83,
2724,海洋王,半导体,深圳,233.65,0.027,4.73,2.71,12.8183,2.024395463,1.3,,0.79,1.01
600206,有研新材,半导体,北京,151.06,0.039,3.5,3.39,11.865,2.316960148,1.05,1.72,0.34,1.17
300077,国民技术,半导体,深圳,99.85,0.079,2.9,5.41,15.689,2.904356535,1.65,3.52,0.73,1.48
2638,勤上股份,半导体,广东,75.23,0.054,2.4,3.4,8.16,3.190216669,,,0.18,
2371,北方华创,半导体,北京,123.59,0.115,4.03,7.06,28.4518,3.260781617,,,0.05,
600360,华微电子,半导体,吉林,97.71,0.05,3.26,2.78,9.0628,3.336403643,1.89,2.02,0.62,1.67
2156,通富微电,半导体,江苏,72.09,0.088,3.09,4.11,12.6999,4.286308781,,4.74,0.92,2.16
2129,中环股份,半导体,天津,39.75,0.104,2.03,4.06,8.2418,5.106918239,3.14,3.87,0.98,2.57
300582,英飞特,半导体,浙江,85.89,0.12,4.45,4.65,20.6925,5.181045523,11.39,16.06,0.83,6.04
300053,欧比特,半导体,广东,90.71,0.088,4.98,3.21,15.9858,5.490023151,2.88,6.31,1.1,2.77
600667,太极实业,半导体,江苏,48.52,0.079,2.72,2.82,7.6704,5.605935697,2.39,6.79,0.71,2.79
601908,京运通,半导体,北京,31.68,0.091,1.81,3.19,5.7739,5.713383838,4.84,,0.04,2.87
2654,万润科技,半导体,深圳,51.84,0.092,3.11,3.07,9.5477,5.999228395,6.53,7.62,,3.07
