code,name,industry,area,市盈率(pe),每股收益,市净率(pb),每股净资产,股价(pe*eps),股价(pb*bvps),净资产收益(roe),20163,20164,20171,20172
600081,东风科技,汽车配件,上海,25.49,0.263,3.52,3.81,6.70387,13.4112,13.80933699,6.95,,3.26,6.93
2249,大洋电机,电气设备,广东,70.01,0.061,2.33,3.68,4.27061,8.5744,3.328095986,3.84,6.66,,1.67
600660,福耀玻璃,汽车配件,福建,22.16,0.553,3.52,6.95,12.25448,24.464,15.88447653,13.06,18.62,3.77,7.66
2862,实丰文化,文教休闲,广东,75.55,0.26,5.06,6.45,19.643,32.637,6.697551291,,14.56,1.73,4.26
600610,中毅达,建筑施工,上海,3418.77,0.001,6.89,1.09,3.41877,7.5101,0.20153447,,0.44,0.01,0.1
2285,世联行,房产服务,深圳,42.72,0.139,5.62,2.12,5.93808,11.9144,13.15543071,10.37,19.47,2.19,6.7
802,北京文化,旅游服务,北京,159.22,0.053,2.8,6.05,8.43866,16.94,1.758573044,,16.19,0.11,0.88
600114,东睦股份,机械基件,浙江,26.56,0.36,3.4,5.4,9.5616,18.36,12.80120482,6.92,,2.52,6.42
554,泰山石油,石油贸易,山东,3120.92,0.002,5.33,1.9,6.24184,10.127,0.170782974,,0.47,,
300113,顺网科技,互联网,浙江,30.18,0.326,4.92,4.01,9.83868,19.7292,16.30218688,20.86,,5.21,8.6
2841,视源股份,元器件,广东,48.59,0.78,13.47,5.5,37.9002,74.085,27.72175345,62.29,74.94,6.32,15.76
2252,上海莱士,生物制药,上海,72.08,0.143,8.3,2.48,10.30744,20.584,11.51498335,10.99,14.16,1.88,5.88
300199,翰宇药业,化学制药,深圳,48.85,0.171,4.25,3.94,8.35335,16.745,8.700102354,,9.85,,4.35
300561,汇金科技,软件服务,广东,52.04,0.449,6.15,7.6,23.36596,46.74,11.81783244,24.11,27.99,,6.02
600690,青岛海尔,家用电器,山东,9.85,0.726,2.97,4.81,7.1511,14.2857,30.15228426,,20.41,,
2819,东方中科,电器仪表,北京,262.48,0.061,8.66,3.69,16.01128,31.9554,3.299298994,7.35,9.91,-0.01,
300191,潜能恒信,石油开采,北京,0,-0.05,6.73,3.61,0,24.2953,,0.88,,,-1.34
404,华意压缩,专用机械,江西,21.83,0.22,1.74,4.56,4.8026,7.9344,7.970682547,7.83,10.77,2.13,
2292,奥飞娱乐,影视音像,广东,73.7,0.103,4.11,3.71,7.5911,15.2481,5.576662144,,11.74,0.95,2.82
2785,万里石,其他建材,福建,176.04,0.053,5.68,3.3,9.33012,18.744,3.226539423,,,0.54,
300064,豫金刚石,矿物制品,河南,89.75,0.078,2.52,5.57,7.0005,14.0364,2.807799443,5.72,,0.84,
1,平安银行,银行,深圳,7.84,0.68,1.03,11.15,5.3312,11.4845,13.1377551,,13.18,2.89,6.21
2277,友阿股份,百货,湖南,17.86,0.19,1.87,3.62,3.3934,6.7694,10.47032475,,7.33,3.29,5.35
300122,智飞生物,生物制药,重庆,120.52,0.107,15.47,1.67,12.89564,25.8349,12.83604381,0.27,1.3,,
600742,一汽富维,汽车配件,吉林,16.34,0.689,2.18,10.35,11.25826,22.563,13.34149327,,10.35,3.43,
418,小天鹅Ａ,家用电器,江苏,19.52,1.157,4.58,9.86,22.58464,45.1588,23.46311475,16.81,21.14,6.44,11.69
2724,海洋王,半导体,深圳,237.47,0.027,4.81,2.71,6.41169,13.0351,2.025519013,1.3,,0.79,1.01
600448,华纺股份,纺织,山东,170.81,0.018,3.06,2.02,3.07458,6.1812,1.7914642,1.36,,,0.9
